Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.8,0.55,0.6,0.75,0.85,0.8,0.8,0.75,0.9,0.75,0.755,0.101
0.9,0.75,0.6,0.8,0.9,0.85,0.75,0.6,0.65,0.7,0.75,0.107
0.7,0.8,0.8,0.7,0.65,0.9,0.8,0.75,0.65,0.8,0.755,0.076
0.65,0.9,0.8,0.6,0.9,0.75,0.8,0.65,0.75,0.75,0.755,0.096
0.75,0.65,0.85,0.75,0.75,0.8,0.7,0.85,0.65,0.8,0.755,0.069

0.76,0.73,0.73,0.72,0.81,0.82,0.77,0.72,0.72,0.76,0.754,0.035
0.086,0.121,0.108,0.068,0.097,0.051,0.04,0.087,0.098,0.037,0.002,0.028
