Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.7,0.6,0.7,0.75,0.7,0.75,0.65,0.8,0.9,0.7,0.725,0.078
0.9,0.75,0.55,0.8,0.85,0.85,0.75,0.6,0.65,0.75,0.745,0.108
0.7,0.8,0.75,0.7,0.75,0.8,0.8,0.8,0.55,0.8,0.745,0.076
0.65,0.85,0.8,0.65,0.9,0.75,0.85,0.65,0.7,0.8,0.76,0.089
0.75,0.65,0.85,0.75,0.7,0.75,0.8,0.8,0.75,0.75,0.755,0.052

0.74,0.73,0.73,0.73,0.78,0.78,0.77,0.73,0.71,0.76,0.746,0.023
0.086,0.093,0.103,0.051,0.081,0.04,0.068,0.087,0.116,0.037,0.012,0.025
