Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.75,0.75,0.9,0.95,0.75,0.55,0.7,0.8,0.5,0.55,0.72,0.142
0.8,0.8,0.8,0.6,0.8,0.6,0.4,0.8,0.85,0.85,0.73,0.14
0.65,0.55,0.95,0.55,0.8,0.85,0.85,0.8,0.7,0.8,0.75,0.126
0.6,0.85,0.7,0.9,0.85,0.8,0.8,0.8,0.7,0.6,0.76,0.099
0.65,0.55,0.9,0.7,0.75,0.4,0.7,0.75,0.65,0.85,0.69,0.136

0.69,0.7,0.85,0.74,0.79,0.64,0.69,0.79,0.68,0.73,0.73,0.06
0.073,0.126,0.089,0.159,0.037,0.166,0.156,0.02,0.112,0.129,0.024,0.048
