Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.8,0.8,0.85,0.85,0.95,0.6,0.8,0.8,0.65,0.85,0.795,0.096
0.85,0.75,0.8,0.85,0.8,0.65,0.65,0.8,0.8,0.85,0.78,0.071
0.7,0.65,0.95,0.8,0.8,0.9,0.85,0.75,0.75,0.85,0.8,0.087
0.7,0.95,0.7,1.0,0.8,0.8,0.75,0.85,0.75,0.7,0.8,0.1
0.85,0.85,0.9,0.7,0.75,0.6,0.7,0.85,0.7,0.9,0.78,0.098

0.78,0.8,0.84,0.84,0.82,0.71,0.75,0.81,0.73,0.83,0.791,0.044
0.068,0.1,0.086,0.097,0.068,0.12,0.071,0.037,0.051,0.068,0.009,0.023
