Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,1.0,0.778,0.778,0.889,0.889,0.778,0.889,1.0,1.0,0.89,0.086
0.9,1.0,0.778,1.0,1.0,0.889,0.778,0.889,0.889,1.0,0.912,0.083
0.9,0.9,0.778,0.778,0.667,1.0,0.778,1.0,1.0,1.0,0.88,0.116
1.0,1.0,0.778,0.889,1.0,1.0,0.778,0.889,0.889,0.778,0.9,0.092
0.7,1.0,0.889,0.889,0.889,0.889,1.0,1.0,0.889,1.0,0.914,0.089

0.88,0.98,0.8,0.867,0.889,0.933,0.822,0.933,0.933,0.956,0.899,0.055
0.098,0.04,0.044,0.083,0.122,0.054,0.089,0.054,0.054,0.089,0.013,0.026
