Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.742,0.717,0.658,0.642,0.683,0.75,0.708,0.642,0.65,0.742,0.693,0.042
0.667,0.65,0.733,0.675,0.708,0.65,0.683,0.658,0.717,0.767,0.691,0.037
0.75,0.775,0.758,0.667,0.733,0.642,0.65,0.625,0.667,0.717,0.698,0.051
0.667,0.65,0.717,0.733,0.708,0.667,0.733,0.733,0.742,0.675,0.702,0.033
0.7,0.683,0.767,0.65,0.65,0.633,0.658,0.708,0.7,0.742,0.689,0.041

0.705,0.695,0.727,0.673,0.696,0.668,0.686,0.673,0.695,0.729,0.695,0.02
0.036,0.047,0.039,0.032,0.028,0.042,0.031,0.041,0.033,0.031,0.005,0.006
