Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.717,0.692,0.65,0.608,0.675,0.758,0.617,0.617,0.683,0.708,0.672,0.047
0.733,0.742,0.683,0.725,0.65,0.608,0.692,0.592,0.725,0.675,0.682,0.05
0.683,0.725,0.617,0.692,0.65,0.65,0.642,0.617,0.683,0.7,0.666,0.034
0.65,0.642,0.692,0.675,0.725,0.683,0.717,0.692,0.708,0.675,0.686,0.026
0.7,0.667,0.758,0.658,0.633,0.658,0.642,0.633,0.583,0.683,0.662,0.044

0.697,0.694,0.68,0.672,0.667,0.671,0.662,0.63,0.676,0.688,0.674,0.018
0.029,0.037,0.047,0.039,0.032,0.05,0.037,0.034,0.049,0.013,0.009,0.01
