Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,0.85,0.9,0.9,0.95,0.85,0.75,0.85,0.8,0.95,0.87,0.06
0.9,0.85,0.9,0.9,0.8,0.85,0.9,0.8,0.9,0.85,0.865,0.039
0.75,0.75,0.9,0.9,0.9,1.0,0.85,0.85,0.8,0.9,0.86,0.073
0.85,0.95,0.85,0.95,0.85,0.8,0.9,0.9,0.8,0.75,0.86,0.062
0.9,0.9,0.95,0.8,0.75,0.7,0.9,0.95,0.85,0.85,0.855,0.079

0.86,0.86,0.9,0.89,0.85,0.84,0.86,0.87,0.83,0.86,0.862,0.02
0.058,0.066,0.032,0.049,0.071,0.097,0.058,0.051,0.04,0.066,0.005,0.017
