Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,0.8,0.9,0.9,0.95,0.9,0.8,0.85,0.8,0.95,0.875,0.056
0.95,0.85,0.85,0.95,0.8,0.9,0.9,0.8,0.9,0.85,0.875,0.051
0.75,0.7,0.95,0.9,0.9,1.0,0.85,0.85,0.85,0.9,0.865,0.084
0.9,0.95,0.85,1.0,0.9,0.75,0.85,0.9,0.8,0.75,0.865,0.078
0.95,0.9,0.95,0.8,0.7,0.7,0.9,0.95,0.85,0.85,0.855,0.091

0.89,0.84,0.9,0.91,0.85,0.85,0.86,0.87,0.84,0.86,0.867,0.024
0.073,0.086,0.045,0.066,0.089,0.11,0.037,0.051,0.037,0.066,0.007,0.023
