Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.909,0.818,0.7,0.9,0.9,0.7,0.8,0.6,0.7,0.8,0.783,0.1
0.818,0.909,0.9,0.9,0.8,0.7,0.9,0.9,0.7,0.7,0.823,0.088
0.818,0.727,0.8,1.0,0.8,0.9,0.7,0.8,1.0,0.6,0.814,0.12
0.636,0.818,1.0,0.9,0.8,0.8,0.6,0.7,1.0,0.8,0.805,0.129
0.545,0.727,1.0,0.9,0.7,0.8,0.7,1.0,1.0,0.7,0.807,0.152

0.745,0.8,0.88,0.92,0.8,0.78,0.74,0.8,0.88,0.72,0.806,0.063
0.134,0.068,0.117,0.04,0.063,0.075,0.102,0.141,0.147,0.075,0.013,0.035
