Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
1.0,0.909,0.6,0.9,0.9,0.6,0.8,0.6,0.8,0.8,0.791,0.138
0.818,0.909,1.0,0.8,0.9,0.7,0.9,0.9,0.8,0.7,0.843,0.092
0.818,0.909,0.8,0.9,0.7,1.0,0.7,0.8,1.0,0.6,0.823,0.125
0.636,0.909,1.0,0.9,0.8,0.8,0.5,0.7,1.0,0.9,0.814,0.154
0.636,0.818,1.0,0.9,0.8,0.8,0.7,1.0,0.9,0.7,0.825,0.119

0.782,0.891,0.88,0.88,0.82,0.78,0.72,0.8,0.9,0.74,0.819,0.062
0.136,0.036,0.16,0.04,0.075,0.133,0.133,0.141,0.089,0.102,0.017,0.041
