Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.717,0.717,0.683,0.592,0.625,0.733,0.608,0.65,0.625,0.733,0.668,0.052
0.725,0.725,0.65,0.742,0.667,0.575,0.642,0.608,0.675,0.7,0.671,0.051
0.658,0.708,0.675,0.692,0.65,0.658,0.692,0.583,0.65,0.717,0.668,0.036
0.692,0.642,0.65,0.692,0.7,0.692,0.7,0.692,0.575,0.692,0.673,0.038
0.658,0.708,0.708,0.683,0.65,0.617,0.675,0.642,0.625,0.675,0.664,0.03

0.69,0.7,0.673,0.68,0.658,0.655,0.663,0.635,0.63,0.703,0.669,0.024
0.028,0.03,0.022,0.049,0.025,0.055,0.034,0.037,0.033,0.02,0.003,0.011
