Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.7,0.742,0.683,0.642,0.708,0.8,0.7,0.617,0.642,0.733,0.697,0.052
0.683,0.692,0.692,0.717,0.667,0.633,0.675,0.65,0.708,0.717,0.683,0.026
0.733,0.725,0.8,0.692,0.675,0.642,0.675,0.592,0.6,0.742,0.688,0.062
0.725,0.608,0.717,0.667,0.675,0.692,0.708,0.708,0.633,0.633,0.677,0.038
0.717,0.717,0.75,0.65,0.658,0.642,0.7,0.675,0.692,0.708,0.691,0.033

0.712,0.697,0.728,0.674,0.677,0.682,0.692,0.648,0.655,0.707,0.687,0.024
0.018,0.047,0.043,0.028,0.017,0.063,0.014,0.041,0.04,0.039,0.007,0.015
