Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.75,0.55,0.65,0.75,0.75,0.8,0.8,0.8,0.9,0.75,0.75,0.089
0.9,0.8,0.7,0.8,0.9,0.85,0.75,0.65,0.65,0.75,0.775,0.087
0.75,0.85,0.8,0.7,0.75,0.9,0.8,0.75,0.6,0.8,0.77,0.078
0.65,0.9,0.8,0.7,0.9,0.75,0.8,0.65,0.7,0.8,0.765,0.087
0.75,0.65,0.9,0.75,0.75,0.8,0.75,0.8,0.75,0.8,0.77,0.06

0.76,0.75,0.77,0.74,0.81,0.82,0.78,0.73,0.72,0.78,0.766,0.031
0.08,0.13,0.087,0.037,0.073,0.051,0.024,0.068,0.103,0.024,0.009,0.033
