Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.75,0.6,0.65,0.8,0.75,0.8,0.7,0.8,0.9,0.7,0.745,0.082
0.9,0.8,0.6,0.8,0.85,0.85,0.75,0.6,0.65,0.75,0.755,0.101
0.7,0.8,0.75,0.7,0.8,0.9,0.8,0.8,0.55,0.8,0.76,0.089
0.65,0.85,0.8,0.65,0.9,0.75,0.85,0.65,0.7,0.85,0.765,0.092
0.75,0.7,0.85,0.75,0.75,0.8,0.8,0.75,0.8,0.8,0.775,0.04

0.75,0.75,0.73,0.74,0.81,0.82,0.78,0.72,0.72,0.78,0.76,0.034
0.084,0.089,0.093,0.058,0.058,0.051,0.051,0.081,0.121,0.051,0.01,0.022
