Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,1.0,0.556,1.0,0.889,0.889,0.889,0.889,1.0,1.0,0.901,0.126
0.9,1.0,0.778,0.889,1.0,0.889,0.778,0.889,0.889,1.0,0.901,0.078
0.9,0.8,0.778,0.889,0.778,1.0,0.667,1.0,1.0,1.0,0.881,0.114
1.0,1.0,0.667,0.889,1.0,1.0,0.778,0.889,0.889,0.778,0.889,0.111
0.7,1.0,0.778,0.889,0.889,0.889,1.0,1.0,0.889,0.889,0.892,0.092

0.88,0.96,0.711,0.911,0.911,0.933,0.822,0.933,0.933,0.933,0.893,0.071
0.098,0.08,0.089,0.044,0.083,0.054,0.113,0.054,0.054,0.089,0.008,0.022
