Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.45,0.5,0.7,0.65,0.55,0.4,0.65,0.65,0.35,0.8,0.57,0.136
0.55,0.65,0.5,0.6,0.55,0.45,0.5,0.75,0.55,0.55,0.565,0.081
0.55,0.3,0.7,0.65,0.55,0.35,0.45,0.55,0.75,0.65,0.55,0.14
0.5,0.4,0.5,0.65,0.4,0.6,0.45,0.6,0.75,0.6,0.545,0.108
0.75,0.7,0.6,0.75,0.35,0.25,0.6,0.5,0.65,0.55,0.57,0.157

0.56,0.51,0.6,0.66,0.48,0.41,0.53,0.61,0.61,0.63,0.56,0.073
0.102,0.15,0.089,0.049,0.087,0.116,0.081,0.086,0.15,0.093,0.01,0.03
