Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.65,0.55,0.7,0.6,0.45,0.5,0.65,0.6,0.4,0.75,0.585,0.105
0.5,0.65,0.5,0.65,0.55,0.6,0.5,0.75,0.6,0.55,0.585,0.078
0.75,0.55,0.6,0.65,0.6,0.4,0.45,0.6,0.65,0.6,0.585,0.095
0.6,0.35,0.55,0.6,0.55,0.7,0.5,0.75,0.85,0.65,0.61,0.132
0.8,0.7,0.55,0.8,0.4,0.5,0.6,0.5,0.65,0.5,0.6,0.128

0.66,0.56,0.58,0.66,0.51,0.54,0.54,0.64,0.63,0.61,0.593,0.052
0.107,0.12,0.068,0.073,0.073,0.102,0.073,0.097,0.144,0.086,0.01,0.023
