Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.642,0.675,0.683,0.667,0.65,0.692,0.617,0.608,0.658,0.692,0.658,0.028
0.692,0.675,0.65,0.758,0.633,0.65,0.7,0.642,0.625,0.7,0.673,0.039
0.675,0.758,0.683,0.708,0.658,0.658,0.7,0.6,0.7,0.625,0.676,0.042
0.65,0.633,0.683,0.683,0.733,0.667,0.65,0.692,0.717,0.692,0.68,0.029
0.742,0.65,0.625,0.675,0.625,0.717,0.675,0.692,0.65,0.75,0.68,0.043

0.68,0.678,0.665,0.698,0.66,0.677,0.668,0.647,0.67,0.692,0.673,0.014
0.036,0.043,0.024,0.033,0.038,0.025,0.032,0.04,0.034,0.04,0.008,0.006
