Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,0.95,0.55,0.85,0.7,0.9,0.8,0.85,0.8,0.75,0.805,0.111
0.9,0.8,0.8,0.85,0.8,0.8,0.85,0.8,0.85,0.85,0.83,0.033
0.65,0.9,0.7,0.65,0.8,0.85,1.0,0.75,0.7,0.75,0.775,0.108
0.65,0.8,0.75,0.65,0.75,0.8,0.95,0.75,0.95,0.85,0.79,0.099
0.85,0.75,0.95,0.8,0.9,0.6,0.85,0.7,0.85,0.9,0.815,0.1

0.79,0.84,0.75,0.76,0.79,0.79,0.89,0.77,0.83,0.82,0.803,0.04
0.116,0.073,0.13,0.092,0.066,0.102,0.073,0.051,0.081,0.06,0.019,0.024
