Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,0.95,0.55,0.85,0.7,0.9,0.8,0.85,0.8,0.7,0.8,0.114
0.9,0.8,0.75,0.8,0.8,0.75,0.85,0.8,0.85,0.9,0.82,0.051
0.6,0.9,0.7,0.65,0.8,0.85,1.0,0.7,0.7,0.7,0.76,0.118
0.7,0.85,0.8,0.65,0.75,0.75,0.9,0.75,0.95,0.85,0.795,0.088
0.85,0.75,0.95,0.8,0.9,0.6,0.85,0.7,0.85,0.9,0.815,0.1

0.79,0.85,0.75,0.75,0.79,0.77,0.88,0.76,0.83,0.81,0.798,0.042
0.12,0.071,0.13,0.084,0.066,0.103,0.068,0.058,0.081,0.092,0.021,0.023
