Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.5,0.45,0.7,0.65,0.7,0.4,0.55,0.55,0.35,0.65,0.55,0.118
0.55,0.6,0.4,0.45,0.5,0.65,0.5,0.7,0.5,0.6,0.545,0.088
0.5,0.55,0.65,0.6,0.45,0.4,0.45,0.55,0.65,0.7,0.55,0.095
0.45,0.45,0.4,0.45,0.5,0.7,0.45,0.7,0.7,0.55,0.535,0.114
0.8,0.65,0.6,0.8,0.6,0.5,0.4,0.5,0.55,0.4,0.58,0.135

0.56,0.54,0.55,0.59,0.55,0.53,0.47,0.6,0.55,0.58,0.552,0.035
0.124,0.08,0.126,0.132,0.089,0.125,0.051,0.084,0.122,0.103,0.015,0.025
