Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.5,0.55,0.6,0.7,0.7,0.6,0.5,0.65,0.4,0.7,0.59,0.097
0.55,0.7,0.4,0.5,0.5,0.65,0.5,0.85,0.6,0.5,0.575,0.123
0.6,0.6,0.55,0.65,0.45,0.4,0.35,0.6,0.7,0.75,0.565,0.123
0.45,0.35,0.45,0.55,0.65,0.75,0.55,0.7,0.8,0.6,0.585,0.136
0.75,0.7,0.6,0.75,0.65,0.5,0.55,0.5,0.5,0.35,0.585,0.123

0.57,0.58,0.52,0.63,0.59,0.58,0.49,0.66,0.6,0.58,0.58,0.046
0.103,0.129,0.081,0.093,0.097,0.121,0.073,0.116,0.141,0.144,0.009,0.023
