Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.909,1.0,0.7,0.9,0.9,1.0,0.9,0.7,0.7,0.9,0.861,0.112
0.818,0.909,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.863,0.079
0.727,0.818,0.8,0.9,0.9,1.0,0.6,0.8,0.9,0.7,0.814,0.111
0.636,0.909,1.0,1.0,0.8,0.9,0.6,0.8,1.0,1.0,0.864,0.144
0.727,0.818,1.0,0.9,0.9,0.9,0.8,1.0,0.9,0.7,0.864,0.097

0.763,0.891,0.9,0.92,0.88,0.94,0.76,0.82,0.86,0.8,0.853,0.061
0.093,0.068,0.126,0.04,0.04,0.049,0.136,0.098,0.102,0.126,0.02,0.035
