Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
1.0,1.0,0.7,0.9,0.9,1.0,0.9,0.7,0.7,0.9,0.87,0.119
0.818,0.909,1.0,0.9,0.9,0.7,0.9,0.8,0.8,0.6,0.833,0.11
0.727,0.818,0.9,0.9,0.9,1.0,0.6,0.9,1.0,0.7,0.844,0.125
0.636,0.818,1.0,1.0,0.8,0.9,0.6,0.8,1.0,1.0,0.855,0.144
0.727,0.818,1.0,0.9,0.9,0.8,0.8,1.0,0.9,0.7,0.854,0.098

0.782,0.873,0.92,0.92,0.88,0.88,0.76,0.84,0.88,0.78,0.851,0.055
0.123,0.073,0.117,0.04,0.04,0.117,0.136,0.102,0.117,0.147,0.012,0.036
