Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.5,0.45,0.7,0.65,0.7,0.5,0.55,0.65,0.4,0.65,0.575,0.103
0.55,0.6,0.4,0.4,0.5,0.65,0.5,0.65,0.5,0.6,0.535,0.087
0.45,0.6,0.65,0.6,0.55,0.4,0.4,0.45,0.75,0.75,0.56,0.126
0.45,0.35,0.4,0.45,0.55,0.75,0.55,0.65,0.7,0.6,0.545,0.125
0.8,0.65,0.55,0.7,0.6,0.5,0.4,0.4,0.5,0.4,0.55,0.13

0.55,0.53,0.54,0.56,0.58,0.56,0.48,0.56,0.57,0.6,0.553,0.031
0.13,0.112,0.124,0.116,0.068,0.124,0.068,0.111,0.133,0.114,0.014,0.022
