Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.6,0.45,0.6,0.7,0.7,0.6,0.55,0.7,0.35,0.75,0.6,0.118
0.6,0.7,0.4,0.6,0.5,0.6,0.5,0.85,0.6,0.55,0.59,0.116
0.55,0.6,0.65,0.6,0.45,0.3,0.3,0.7,0.7,0.75,0.56,0.153
0.45,0.35,0.4,0.55,0.8,0.75,0.65,0.7,0.75,0.6,0.6,0.15
0.75,0.6,0.65,0.75,0.6,0.55,0.45,0.5,0.55,0.4,0.58,0.11

0.59,0.54,0.54,0.64,0.61,0.56,0.49,0.69,0.59,0.61,0.586,0.054
0.097,0.124,0.116,0.073,0.128,0.146,0.116,0.111,0.139,0.132,0.015,0.02
