Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.85,0.85,0.9,0.8,0.95,0.8,0.75,0.85,0.8,0.9,0.845,0.057
0.8,0.75,0.85,0.85,0.7,0.8,0.8,0.8,0.9,0.85,0.81,0.054
0.7,0.7,1.0,0.8,0.9,0.95,0.85,0.75,0.85,0.8,0.83,0.095
0.8,0.95,0.75,0.95,0.85,0.9,0.9,0.85,0.8,0.7,0.845,0.079
1.0,0.8,0.9,0.75,0.75,0.65,0.75,0.95,0.8,0.9,0.825,0.103

0.83,0.81,0.88,0.83,0.83,0.82,0.81,0.84,0.83,0.83,0.831,0.019
0.098,0.086,0.081,0.068,0.093,0.103,0.058,0.066,0.04,0.075,0.013,0.018
