Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.7,0.85,0.9,0.85,0.6,0.6,0.7,0.7,0.5,0.65,0.705,0.121
0.8,0.8,0.85,0.65,0.75,0.7,0.45,0.8,0.85,0.85,0.75,0.118
0.65,0.65,0.95,0.55,0.85,0.95,0.85,0.8,0.8,0.85,0.79,0.126
0.6,0.85,0.75,1.0,0.85,0.8,0.85,0.8,0.75,0.6,0.785,0.114
0.95,0.6,0.85,0.75,0.7,0.6,0.7,0.85,0.7,0.9,0.76,0.116

0.74,0.75,0.86,0.76,0.75,0.73,0.71,0.79,0.72,0.77,0.758,0.041
0.124,0.105,0.066,0.156,0.095,0.133,0.146,0.049,0.121,0.121,0.03,0.032
