Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
1.0,0.909,0.6,0.9,0.9,0.6,0.8,0.6,0.8,0.8,0.791,0.138
0.818,0.909,1.0,0.8,0.9,0.6,1.0,0.9,0.8,0.7,0.843,0.12
0.818,0.909,0.8,0.9,0.8,1.0,0.7,0.8,1.0,0.7,0.843,0.102
0.636,0.818,1.0,1.0,0.8,0.8,0.5,0.7,1.0,0.9,0.815,0.16
0.636,0.818,1.0,0.9,0.8,0.8,0.8,1.0,0.9,0.6,0.825,0.127

0.782,0.873,0.88,0.9,0.84,0.76,0.76,0.8,0.9,0.74,0.823,0.059
0.136,0.045,0.16,0.063,0.049,0.15,0.162,0.141,0.089,0.102,0.019,0.044
