Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Acc_run_mean,Acc_run_std
0.9,1.0,0.667,0.778,0.889,0.889,0.889,0.889,1.0,1.0,0.89,0.099
0.9,1.0,0.778,0.889,1.0,0.778,0.778,0.889,0.889,1.0,0.89,0.086
1.0,0.8,0.778,0.889,0.778,1.0,0.667,1.0,1.0,1.0,0.891,0.12
1.0,1.0,0.667,0.889,1.0,1.0,0.778,0.889,0.889,0.778,0.889,0.111
0.8,1.0,0.778,0.889,0.889,0.889,1.0,1.0,0.889,1.0,0.913,0.08

0.92,0.96,0.734,0.867,0.911,0.911,0.822,0.933,0.933,0.956,0.895,0.066
0.075,0.08,0.054,0.044,0.083,0.083,0.113,0.054,0.054,0.089,0.009,0.02
